,beta,cost,demandIntercept,demandSlope,fitnessNaiveAgents,fitnessRationalAgents,supplySlope,w
0,5.0,2.5,0.5,1.0550000000000002,0.0,0.0,1.5,0.5
1,7.5,1.25,0.25,1.0775000000000001,-1.0,1.0,1.25,0.75
2,2.5,3.75,0.75,1.0325,1.0,-1.0,1.75,0.25
3,3.75,4.375,0.375,1.0662500000000001,0.5,-1.5,1.125,0.875
4,8.75,1.875,0.875,1.02125,-1.5,0.5,1.625,0.375
5,6.25,3.125,0.125,1.04375,1.5,1.5,1.375,0.125
6,1.25,0.625,0.625,1.08875,-0.5,-0.5,1.875,0.625
7,1.875,0.9375,0.3125,1.038125,1.75,-1.75,1.6875,0.5625
8,6.875,3.4375,0.8125,1.0831250000000001,-0.25,0.25,1.1875,0.0625
9,9.375,2.1875,0.0625,1.0606250000000002,0.75,1.25,1.9375,0.3125
10,4.375,4.6875,0.5625,1.015625,-1.25,-0.75,1.4375,0.8125
11,3.125,4.0625,0.1875,1.094375,-0.75,-1.25,1.5625,0.4375
12,8.125,1.5625,0.6875,1.049375,1.25,0.75,1.0625,0.9375
13,5.625,2.8125,0.4375,1.026875,-1.75,1.75,1.8125,0.6875
14,0.625,0.3125,0.9375,1.0718750000000001,0.25,-0.25,1.3125,0.1875
15,0.9375,1.71875,0.46875,1.0859375,1.375,0.125,1.40625,0.28125
16,5.9375,4.21875,0.96875,1.0409375,-0.625,-1.875,1.90625,0.78125
17,8.4375,0.46875,0.21875,1.0184375,0.375,-0.875,1.15625,0.53125
18,3.4375,2.96875,0.71875,1.0634375,-1.625,1.125,1.65625,0.03125
19,4.6875,3.59375,0.09375,1.0521875,-0.125,0.625,1.28125,0.65625
20,9.6875,1.09375,0.59375,1.0971875,1.875,-1.375,1.78125,0.15625
21,7.1875,4.84375,0.34375,1.0746875,-1.125,-0.375,1.03125,0.40625
22,2.1875,2.34375,0.84375,1.0296875,0.875,1.625,1.53125,0.90625
23,1.5625,2.03125,0.15625,1.0578125,-1.375,0.375,1.84375,0.84375
24,6.5625,4.53125,0.65625,1.0128125000000001,0.625,-1.625,1.34375,0.34375
25,9.0625,0.78125,0.40625,1.0353125,-0.375,-0.625,1.59375,0.09375
26,4.0625,3.28125,0.90625,1.0803125,1.625,1.375,1.09375,0.59375
27,2.8125,2.65625,0.28125,1.0240625,0.125,0.875,1.96875,0.21875
28,7.8125,0.15625,0.78125,1.0690625,-1.875,-1.125,1.46875,0.71875
29,5.3125,3.90625,0.03125,1.0915625,1.125,-0.125,1.71875,0.96875
30,0.3125,1.40625,0.53125,1.0465625,-0.875,1.875,1.21875,0.46875
31,0.46875,3.203125,0.265625,1.06484375,0.6875,-0.9375,1.578125,0.703125
32,5.46875,0.703125,0.765625,1.01984375,-1.3125,1.0625,1.078125,0.203125
33,7.96875,4.453125,0.015625,1.0423437500000001,1.6875,0.0625,1.828125,0.453125
34,2.96875,1.953125,0.515625,1.08734375,-0.3125,-1.9375,1.328125,0.953125
35,4.21875,1.328125,0.140625,1.03109375,-1.8125,-0.4375,1.703125,0.328125
36,9.21875,3.828125,0.640625,1.07609375,0.1875,1.5625,1.203125,0.828125
37,6.71875,0.078125,0.390625,1.09859375,-0.8125,0.5625,1.953125,0.578125
38,1.71875,2.578125,0.890625,1.05359375,1.1875,-1.4375,1.453125,0.078125
39,2.34375,2.890625,0.078125,1.08171875,-0.5625,-0.6875,1.140625,0.140625
